code,label
"def solve_0(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_1(text):
    return text.strip().lower()",correct_solution
"def solve_2(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_3(n):
    if n <= 1:
        return n
    return solve_3(n - 1) + solve_3(n - 2)",correct_solution
"def solve_4(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_5(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_6(text):
    return text.strip().lower()",correct_solution
"def solve_7(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_8(n):
    if n <= 1:
        return n
    return solve_8(n - 1) + solve_8(n - 2)",correct_solution
"def solve_9(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_10(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_11(text):
    return text.strip().lower()",correct_solution
"def solve_12(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_13(n):
    if n <= 1:
        return n
    return solve_13(n - 1) + solve_13(n - 2)",correct_solution
"def solve_14(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_15(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_16(text):
    return text.strip().lower()",correct_solution
"def solve_17(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_18(n):
    if n <= 1:
        return n
    return solve_18(n - 1) + solve_18(n - 2)",correct_solution
"def solve_19(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_20(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_21(text):
    return text.strip().lower()",correct_solution
"def solve_22(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_23(n):
    if n <= 1:
        return n
    return solve_23(n - 1) + solve_23(n - 2)",correct_solution
"def solve_24(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_25(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_26(text):
    return text.strip().lower()",correct_solution
"def solve_27(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_28(n):
    if n <= 1:
        return n
    return solve_28(n - 1) + solve_28(n - 2)",correct_solution
"def solve_29(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_30(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_31(text):
    return text.strip().lower()",correct_solution
"def solve_32(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_33(n):
    if n <= 1:
        return n
    return solve_33(n - 1) + solve_33(n - 2)",correct_solution
"def solve_34(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_35(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_36(text):
    return text.strip().lower()",correct_solution
"def solve_37(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_38(n):
    if n <= 1:
        return n
    return solve_38(n - 1) + solve_38(n - 2)",correct_solution
"def solve_39(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_40(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_41(text):
    return text.strip().lower()",correct_solution
"def solve_42(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_43(n):
    if n <= 1:
        return n
    return solve_43(n - 1) + solve_43(n - 2)",correct_solution
"def solve_44(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_45(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_46(text):
    return text.strip().lower()",correct_solution
"def solve_47(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_48(n):
    if n <= 1:
        return n
    return solve_48(n - 1) + solve_48(n - 2)",correct_solution
"def solve_49(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_50(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_51(text):
    return text.strip().lower()",correct_solution
"def solve_52(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_53(n):
    if n <= 1:
        return n
    return solve_53(n - 1) + solve_53(n - 2)",correct_solution
"def solve_54(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_55(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_56(text):
    return text.strip().lower()",correct_solution
"def solve_57(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_58(n):
    if n <= 1:
        return n
    return solve_58(n - 1) + solve_58(n - 2)",correct_solution
"def solve_59(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_60(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_61(text):
    return text.strip().lower()",correct_solution
"def solve_62(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_63(n):
    if n <= 1:
        return n
    return solve_63(n - 1) + solve_63(n - 2)",correct_solution
"def solve_64(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_65(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_66(text):
    return text.strip().lower()",correct_solution
"def solve_67(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_68(n):
    if n <= 1:
        return n
    return solve_68(n - 1) + solve_68(n - 2)",correct_solution
"def solve_69(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_70(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_71(text):
    return text.strip().lower()",correct_solution
"def solve_72(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_73(n):
    if n <= 1:
        return n
    return solve_73(n - 1) + solve_73(n - 2)",correct_solution
"def solve_74(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_75(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_76(text):
    return text.strip().lower()",correct_solution
"def solve_77(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_78(n):
    if n <= 1:
        return n
    return solve_78(n - 1) + solve_78(n - 2)",correct_solution
"def solve_79(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_80(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_81(text):
    return text.strip().lower()",correct_solution
"def solve_82(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_83(n):
    if n <= 1:
        return n
    return solve_83(n - 1) + solve_83(n - 2)",correct_solution
"def solve_84(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_85(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_86(text):
    return text.strip().lower()",correct_solution
"def solve_87(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_88(n):
    if n <= 1:
        return n
    return solve_88(n - 1) + solve_88(n - 2)",correct_solution
"def solve_89(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_90(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_91(text):
    return text.strip().lower()",correct_solution
"def solve_92(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_93(n):
    if n <= 1:
        return n
    return solve_93(n - 1) + solve_93(n - 2)",correct_solution
"def solve_94(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_95(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_96(text):
    return text.strip().lower()",correct_solution
"def solve_97(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_98(n):
    if n <= 1:
        return n
    return solve_98(n - 1) + solve_98(n - 2)",correct_solution
"def solve_99(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_100(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_101(text):
    return text.strip().lower()",correct_solution
"def solve_102(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_103(n):
    if n <= 1:
        return n
    return solve_103(n - 1) + solve_103(n - 2)",correct_solution
"def solve_104(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_105(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_106(text):
    return text.strip().lower()",correct_solution
"def solve_107(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_108(n):
    if n <= 1:
        return n
    return solve_108(n - 1) + solve_108(n - 2)",correct_solution
"def solve_109(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_110(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_111(text):
    return text.strip().lower()",correct_solution
"def solve_112(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_113(n):
    if n <= 1:
        return n
    return solve_113(n - 1) + solve_113(n - 2)",correct_solution
"def solve_114(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_115(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_116(text):
    return text.strip().lower()",correct_solution
"def solve_117(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_118(n):
    if n <= 1:
        return n
    return solve_118(n - 1) + solve_118(n - 2)",correct_solution
"def solve_119(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_120(values):
    total = 0
    for value in values:
        total += value
    return total",correct_solution
"def solve_121(text):
    return text.strip().lower()",correct_solution
"def solve_122(numbers):
    return [number * 2 for number in numbers]",correct_solution
"def solve_123(n):
    if n <= 1:
        return n
    return solve_123(n - 1) + solve_123(n - 2)",correct_solution
"def solve_124(items):
    counts = {}
    for item in items:
        counts[item] = counts.get(item, 0) + 1
    return counts",correct_solution
"def solve_0(values)
    return sum(values)",syntax_error
"for value in range(4)
    print(value)",syntax_error
"if 5 > 3:
print('large')",syntax_error
"def solve_3(x):
    return (x + 6",syntax_error
"items = [1, 2, 3
print(items)",syntax_error
"def solve_5(values)
    return sum(values)",syntax_error
"for value in range(9)
    print(value)",syntax_error
"if 10 > 3:
print('large')",syntax_error
"def solve_8(x):
    return (x + 11",syntax_error
"items = [1, 2, 3
print(items)",syntax_error
"def solve_10(values)
    return sum(values)",syntax_error
"for value in range(14)
    print(value)",syntax_error
"if 15 > 3:
print('large')",syntax_error
"def solve_13(x):
    return (x + 16",syntax_error
"items = [1, 2, 3
print(items)",syntax_error
"def solve_15(values)
    return sum(values)",syntax_error
"for value in range(19)
    print(value)",syntax_error
"if 20 > 3:
print('large')",syntax_error
"def solve_18(x):
    return (x + 21",syntax_error
"items = [1, 2, 3
print(items)",syntax_error
"def solve_20(values)
    return sum(values)",syntax_error
"for value in range(24)
    print(value)",syntax_error
"if 25 > 3:
print('large')",syntax_error
"def solve_23(x):
    return (x + 26",syntax_error
"items = [1, 2, 3
print(items)",syntax_error
"def solve_25(values)
    return sum(values)",syntax_error
"for value in range(29)
    print(value)",syntax_error
"if 30 > 3:
print('large')",syntax_error
"def solve_28(x):
    return (x + 31",syntax_error
"items = [1, 2, 3
print(items)",syntax_error
"def solve_30(values)
    return sum(values)",syntax_error
"for value in range(34)
    print(value)",syntax_error
"if 35 > 3:
print('large')",syntax_error
"def solve_33(x):
    return (x + 36",syntax_error
"items = [1, 2, 3
print(items)",syntax_error
"def solve_35(values)
    return sum(values)",syntax_error
"for value in range(39)
    print(value)",syntax_error
"if 40 > 3:
print('large')",syntax_error
